CMDLINE /Users/georgeanton/Desktop/Interviews/blogs/advanced_concepts/python_concepts/venv/bin/python3.10 particle.py
MEM 73.460938 1676511464.4394
MEM 73.460938 1676511464.5396
MEM 73.460938 1676511464.6409
MEM 73.460938 1676511464.7412
MEM 73.460938 1676511464.8455
MEM 73.460938 1676511464.9501
MEM 73.460938 1676511465.0537
MEM 73.460938 1676511465.1563
MEM 73.460938 1676511465.2606
MEM 73.460938 1676511465.3614
MEM 73.460938 1676511465.4649
MEM 73.460938 1676511465.5673
MEM 73.460938 1676511465.6686
MEM 73.460938 1676511465.7734
MEM 73.460938 1676511465.8782
MEM 73.460938 1676511465.9818
MEM 73.460938 1676511466.0833
MEM 73.460938 1676511466.1840
MEM 73.460938 1676511466.2889
MEM 73.460938 1676511466.3928
MEM 73.460938 1676511466.4939
MEM 73.460938 1676511466.5987
MEM 73.460938 1676511466.7016
MEM 73.460938 1676511466.8061
MEM 73.460938 1676511466.9109
MEM 73.460938 1676511467.0116
MEM 73.460938 1676511467.1151
MEM 73.460938 1676511467.2186
MEM 73.460938 1676511467.3232
MEM 73.460938 1676511467.4243
MEM 73.460938 1676511467.5255
MEM 73.460938 1676511467.6293
MEM 73.460938 1676511467.7329
MEM 73.460938 1676511467.8332
MEM 73.460938 1676511467.9380
MEM 73.460938 1676511468.0428
MEM 73.460938 1676511468.1474
MEM 73.460938 1676511468.2484
MEM 73.460938 1676511468.3489
MEM 73.460938 1676511468.4516
MEM 73.460938 1676511468.5561
MEM 73.460938 1676511468.6572
MEM 73.460938 1676511468.7622
MEM 73.460938 1676511468.8673
MEM 73.460938 1676511468.9704
MEM 73.460938 1676511469.0709
MEM 73.460938 1676511469.1749
MEM 73.460938 1676511469.2792
MEM 73.460938 1676511469.3808
MEM 73.460938 1676511469.4817
MEM 73.460938 1676511469.5856
MEM 73.460938 1676511469.6898
MEM 73.460938 1676511469.7902
MEM 73.460938 1676511469.8938
MEM 73.460938 1676511469.9942
MEM 73.460938 1676511470.0967
MEM 73.460938 1676511470.2017
